country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,beer_litres,spirit_litres,wine_litres,other_litres,beer_share,spirit_share,wine_share,other_share
Afghanistan,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Albania,89,132,54,4.9,1.5792249,2.34222384,0.95818464,0.0,0.32,0.48,0.20,0.00
Algeria,25,0,14,0.7,0.4436025,0,0.24841824,0.0,0.63,0.00,0.35,0.01
Andorra,245,138,312,12.4,4.3473045,2.44868856,5.53617792,0.1,0.35,0.20,0.45,0.01
Angola,217,57,45,5.9,3.8504697,1.01141484,0.7984872,0.2,0.65,0.17,0.14,0.04
Antigua & Barbuda,102,128,45,4.9,1.8098982,2.27124736,0.7984872,0.0,0.37,0.46,0.16,0.00
Argentina,193,25,221,8.3,3.4246113,0.443603,3.92145936,0.5,0.41,0.05,0.47,0.06
Armenia,21,179,11,3.8,0.3726261,3.17619748,0.19518576,0.1,0.10,0.84,0.05,0.01
Australia,261,72,212,10.4,4.6312101,1.27757664,3.76176192,0.7,0.45,0.12,0.36,0.07
Austria,279,75,191,9.7,4.9506039,1.330809,3.38913456,0.0,0.51,0.14,0.35,0.00
Azerbaijan,21,46,5,1.3,0.3726261,0.81622952,0.0887208,0.0,0.29,0.63,0.07,0.02
Bahamas,122,176,51,6.3,2.1647802,3.12296512,0.90495216,0.1,0.34,0.50,0.14,0.02
Bahrain,42,63,7,2,0.7452522,1.11787956,0.12420912,0.0,0.37,0.56,0.06,0.01
Bangladesh,0,0,0,0,0,0,0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Barbados,143,173,36,6.3,2.5374063,3.06973276,0.63878976,0.1,0.40,0.49,0.10,0.01
Belarus,142,373,42,14.4,2.5196622,6.61855676,0.74525472,4.5,0.17,0.46,0.05,0.31
Belgium,295,84,212,10.5,5.2345095,1.49050608,3.76176192,0.0,0.50,0.14,0.36,0.00
Belize,263,114,8,6.8,4.6666983,2.02282968,0.14195328,0.0,0.69,0.30,0.02,0.00
Benin,34,4,13,1.1,0.6032994,0.07097648,0.23067408,0.2,0.55,0.06,0.21,0.18
Bhutan,23,0,0,0.4,0.4081143,0,0,0.0,1.02,0.00,0.00,-0.02
Bolivia,167,41,8,3.8,2.9632647,0.72750892,0.14195328,0.0,0.78,0.19,0.04,-0.01
Bosnia-Herzegovina,76,173,8,4.6,1.3485516,3.06973276,0.14195328,0.0,0.29,0.67,0.03,0.01
Botswana,173,35,35,5.4,3.0697293,0.6210442,0.6210456,1.1,0.57,0.12,0.12,0.20
